z,a,year,method,reference
30,58,2016,,
30,59,2016,,
30,60,2016,,
30,61,2016,,
30,62,2016,,
30,63,2016,,
30,64,2016,,
30,65,2016,,
30,66,2016,,
30,67,2016,,
30,68,2016,,
30,69,2016,,
30,70,2016,,
31,56,2016,,
31,57,2016,,
31,58,2016,,
31,59,2016,,
31,60,2016,,
31,61,2016,,
31,62,2016,,
31,63,2016,,
31,64,2016,,
31,65,2016,,
31,66,2016,,
31,67,2016,,
31,68,2016,,
31,69,2016,,
31,70,2016,,
31,71,2016,,
32,58,2016,,
32,59,2016,,
32,60,2016,,
32,61,2016,,
32,62,2016,,
32,63,2016,,
32,64,2016,,
32,65,2016,,
32,66,2016,,
32,67,2016,,
32,68,2016,,
32,69,2016,,
32,70,2016,,
32,71,2016,,
32,72,2016,,
33,60,2016,,
33,61,2016,,
33,62,2016,,
33,63,2016,,
33,64,2016,,
33,65,2016,,
33,66,2016,,
33,67,2016,,
33,68,2016,,
33,69,2016,,
33,70,2016,,
33,71,2016,,
33,72,2016,,
33,73,2016,,
34,62,2016,,
34,63,2016,,
34,64,2016,,
34,65,2016,,
34,66,2016,,
34,67,2016,,
34,68,2016,,
34,69,2016,,
34,70,2016,,
34,71,2016,,
34,72,2016,,
34,73,2016,,
34,74,2016,,
35,64,2016,,
35,65,2016,,
35,66,2016,,
35,67,2016,,
35,68,2016,,
35,69,2016,,
35,70,2016,,
35,71,2016,,
35,72,2016,,
35,73,2016,,
35,74,2016,,
35,75,2016,,
36,66,2016,,
36,67,2016,,
36,68,2016,,
36,69,2016,,
36,70,2016,,
36,71,2016,,
36,72,2016,,
36,73,2016,,
36,74,2016,,
36,75,2016,,
36,76,2016,,
37,68,2016,,
37,69,2016,,
37,70,2016,,
37,71,2016,,
37,72,2016,,
37,73,2016,,
37,74,2016,,
37,75,2016,,
37,76,2016,,
37,77,2016,,
38,70,2016,,
38,71,2016,,
38,72,2016,,
38,73,2016,,
38,74,2016,,
38,75,2016,,
38,76,2016,,
38,77,2016,,
38,78,2016,,
39,72,2016,,
39,73,2016,,
39,74,2016,,
39,75,2016,,
39,76,2016,,
39,77,2016,,
39,78,2016,,
39,79,2016,,
40,74,2016,,
40,75,2016,,
40,76,2016,,
40,77,2016,,
40,78,2016,,
40,79,2016,,
40,80,2016,,
6,15,2017,,
7,16,2017,,
7,17,2017,,
7,18,2017,,
7,19,2017,,
7,20,2017,,
7,21,2017,,
7,22,2017,,
7,23,2017,,
7,24,2017,,
7,25,2017,,
11,32,2017,,
11,33,2017,,
11,34,2017,,
11,35,2017,,
11,36,2017,,
11,37,2017,,
11,38,2017,,
11,39,2017,,
12,33,2017,,
12,34,2017,,
12,35,2017,,
12,36,2017,,
12,37,2017,,
12,38,2017,,
12,39,2017,,
12,40,2017,,
13,34,2017,,
13,35,2017,,
13,36,2017,,
13,37,2017,,
13,38,2017,,
13,39,2017,,
13,40,2017,,
13,41,2017,,
13,42,2017,,
14,21,2017,,
14,35,2017,,
14,36,2017,,
14,37,2017,,
14,38,2017,,
14,39,2017,,
14,40,2017,,
14,41,2017,,
14,42,2017,,
14,43,2017,,
14,44,2017,,
15,36,2017,,
15,37,2017,,
15,38,2017,,
15,39,2017,,
15,40,2017,,
15,41,2017,,
15,42,2017,,
15,43,2017,,
15,44,2017,,
15,45,2017,,
15,46,2017,,
16,37,2017,,
16,38,2017,,
16,39,2017,,
16,40,2017,,
16,41,2017,,
16,42,2017,,
16,43,2017,,
16,44,2017,,
16,45,2017,,
16,46,2017,,
16,47,2017,,
16,48,2017,,
16,49,2017,,
17,38,2017,,
17,39,2017,,
17,40,2017,,
17,41,2017,,
17,42,2017,,
17,43,2017,,
17,44,2017,,
17,45,2017,,
17,46,2017,,
17,47,2017,,
17,48,2017,,
17,49,2017,,
17,50,2017,,
17,51,2017,,
18,39,2017,,
18,41,2017,,
18,43,2017,,
18,45,2017,,
18,47,2017,,
18,49,2017,,
18,51,2017,,
18,53,2017,,
18,55,2017,,
18,57,2017,,
19,54,2017,,
19,55,2017,,
22,63,2017,,
22,65,2017,,
22,67,2017,,
22,69,2017,,
22,71,2017,,
23,64,2017,,
23,65,2017,,
24,65,2017,,
24,66,2017,,
24,67,2017,,
25,66,2017,,
25,67,2017,,
25,68,2017,,
25,69,2017,,
26,67,2017,,
26,69,2017,,
26,71,2017,,
26,73,2017,,
26,75,2017,,
27,68,2017,,
27,69,2017,,
27,70,2017,,
27,71,2017,,
27,72,2017,,
27,73,2017,,
27,74,2017,,
27,75,2017,,
27,76,2017,,
27,77,2017,,
50,101,2018,,
50,103,2018,,
50,105,2018,,
50,107,2018,,
50,109,2018,,
50,111,2018,,
2,2,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
2,3,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
2,7,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
2,11,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
2,12,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
3,4,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
3,12,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
3,13,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
3,14,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
3,15,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
3,16,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
4,5,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
4,14,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
4,15,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
4,16,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
4,17,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
4,18,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
4,19,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
4,20,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
5,6,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
5,14,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
5,15,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
5,16,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
5,17,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
5,18,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
5,19,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
5,20,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
5,21,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
5,22,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
5,23,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
6,23,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
6,24,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
6,25,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
6,26,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
7,8,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
7,26,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
8,29,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
8,30,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
8,31,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
8,32,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
