,A,Z,N,Nmax,pdim,ndim,dim
2759,29,9,20,4,243962,4557524,23874902
2760,29,20,9,4,4557524,243962,23874902
2761,20,10,10,4,788199,788199,74668421
2762,21,10,11,4,788199,2123114,194969345
2763,21,11,10,4,2123114,788199,194969345
2764,22,10,12,4,788199,4800513,415227419
2765,22,12,10,4,4800513,788199,415227419
2766,23,10,13,4,788199,9139894,708172213
2767,23,13,10,4,9139894,788199,708172213
2768,24,10,14,4,788199,14655839,1000618679
2769,24,14,10,4,14655839,788199,1000618679
2770,25,10,15,4,788199,19738118,1142554145
2771,25,15,10,4,19738118,788199,1142554145
2772,26,10,16,4,788199,22198439,1079932491
2773,26,16,10,4,22198439,788199,1079932491
2774,27,10,17,4,788199,20659534,818980817
2775,27,17,10,4,20659534,788199,818980817
2776,28,10,18,4,788199,15704597,505692517
2777,28,18,10,4,15704597,788199,505692517
2778,29,10,19,4,788199,9572862,243921448
2779,29,19,10,4,9572862,788199,243921448
2780,30,10,20,4,788199,4557524,91940373
2781,30,20,10,4,4557524,788199,91940373
2782,31,10,21,4,788199,20339790,461122805
2783,31,21,10,4,20339790,788199,461122805
2784,22,11,11,4,2123114,2123114,517970416
2785,23,11,12,4,2123114,4800513,1090421093
2786,23,12,11,4,4800513,2123114,1090421093
2787,24,11,13,4,2123114,9139894,1890788850
2788,24,13,11,4,9139894,2123114,1890788850
2789,25,11,14,4,2123114,14655839,-1648059401
2790,25,14,11,4,14655839,2123114,-1648059401
2791,26,11,15,4,2123114,19738118,-1220648718
2792,26,15,11,4,19738118,2123114,-1220648718
2793,27,11,16,4,2123114,22198439,-1408652118
2794,27,16,11,4,22198439,2123114,-1408652118
2795,28,11,17,4,2123114,20659534,-2063634178
2796,28,17,11,4,20659534,2123114,-2063634178
2797,29,11,18,4,2123114,15704597,1373408585
2798,29,18,11,4,15704597,2123114,1373408585
2799,30,11,19,4,2123114,9572862,678416186
2800,30,19,11,4,9572862,2123114,678416186
2801,31,11,20,4,2123114,4557524,256361920
2802,31,20,11,4,4557524,2123114,256361920
2803,32,11,21,4,2123114,20339790,1290394328
2804,32,21,11,4,20339790,2123114,1290394328
2805,33,11,22,4,2123114,75830075,NaN
2806,33,22,11,4,75830075,2123114,NaN
2807,24,12,12,4,4800513,4800513,-1964741455
2808,25,12,13,4,4800513,9139894,-302358094
2809,25,13,12,4,9139894,4800513,-302358094
2810,26,12,14,4,4800513,14655839,1364496649
2811,26,14,12,4,14655839,4800513,1364496649
2812,27,12,15,4,4800513,19738118,NaN
2813,27,15,12,4,19738118,4800513,NaN
2814,28,12,16,4,4800513,22198439,NaN
2815,28,16,12,4,22198439,4800513,NaN
2816,29,12,17,4,4800513,20659534,416597332
2817,29,17,12,4,20659534,4800513,416597332
2818,30,12,18,4,4800513,15704597,-1360971835
2819,30,18,12,4,15704597,4800513,-1360971835
2820,31,12,19,4,4800513,9572862,1433570620
2821,31,19,12,4,9572862,4800513,1433570620
2822,32,12,20,4,4800513,4557524,549095510
2823,32,20,12,4,4557524,4800513,549095510
2824,33,12,21,4,4800513,20339790,-1560688637
2825,33,21,12,4,20339790,4800513,-1560688637
2826,34,12,22,4,4800513,75830075,NaN
2827,34,22,12,4,75830075,4800513,NaN
2828,35,12,23,4,4800513,NaN,NaN
2829,35,23,12,4,NaN,4800513,NaN
2830,26,13,13,4,9139894,9139894,-1672745858
2831,27,13,14,4,9139894,14655839,NaN
2832,27,14,13,4,14655839,9139894,NaN
2833,28,13,15,4,9139894,19738118,NaN
2834,28,15,13,4,19738118,9139894,NaN
2835,29,13,16,4,9139894,22198439,NaN
2836,29,16,13,4,22198439,9139894,NaN
2837,30,13,17,4,9139894,20659534,NaN
2838,30,17,13,4,20659534,9139894,NaN
2839,31,13,18,4,9139894,15704597,602623337
2840,31,18,13,4,15704597,9139894,602623337
2841,32,13,19,4,9139894,9572862,-1894656356
2842,32,19,13,4,9572862,9139894,-1894656356
2843,33,13,20,4,9139894,4557524,900849081
2844,33,20,13,4,4557524,9139894,900849081
2845,34,13,21,4,9139894,20339790,276404464
2846,34,21,13,4,20339790,9139894,276404464
2847,35,13,22,4,9139894,75830075,NaN
2848,35,22,13,4,75830075,9139894,NaN
2849,36,13,23,4,9139894,NaN,NaN
2850,36,23,13,4,NaN,9139894,NaN
2851,37,13,24,4,9139894,NaN,NaN
2852,37,24,13,4,NaN,9139894,NaN
2853,28,14,14,4,14655839,14655839,NaN
2854,29,14,15,4,14655839,19738118,NaN
2855,29,15,14,4,19738118,14655839,NaN
2856,30,14,16,4,14655839,22198439,NaN
2857,30,16,14,4,22198439,14655839,NaN
2858,31,14,17,4,14655839,20659534,NaN
2859,31,17,14,4,20659534,14655839,NaN
2860,32,14,18,4,14655839,15704597,NaN
2861,32,18,14,4,15704597,14655839,NaN
2862,33,14,19,4,14655839,9572862,-1147288917
2863,33,19,14,4,9572862,14655839,-1147288917
2864,34,14,20,4,14655839,4557524,1172916277
2865,34,20,14,4,4557524,14655839,1172916277
2866,35,14,21,4,14655839,20339790,NaN
2867,35,21,14,4,20339790,14655839,NaN
2868,36,14,22,4,14655839,75830075,NaN
2869,36,22,14,4,75830075,14655839,NaN
2870,37,14,23,4,14655839,NaN,NaN
2871,37,23,14,4,NaN,14655839,NaN
2872,38,14,24,4,14655839,NaN,NaN
2873,38,24,14,4,NaN,14655839,NaN
2874,39,14,25,4,14655839,NaN,NaN
2875,39,25,14,4,NaN,14655839,NaN
2876,30,15,15,4,19738118,19738118,NaN
2877,31,15,16,4,19738118,22198439,NaN
2878,31,16,15,4,22198439,19738118,NaN
2879,32,15,17,4,19738118,20659534,NaN
2880,32,17,15,4,20659534,19738118,NaN
2881,33,15,18,4,19738118,15704597,NaN
2882,33,18,15,4,15704597,19738118,NaN
2883,34,15,19,4,19738118,9572862,-973782536
2884,34,19,15,4,9572862,19738118,-973782536
2885,35,15,20,4,19738118,4557524,1191724038
2886,35,20,15,4,4557524,19738118,1191724038
2887,36,15,21,4,19738118,20339790,NaN
2888,36,21,15,4,20339790,19738118,NaN
2889,37,15,22,4,19738118,75830075,NaN
2890,37,22,15,4,75830075,19738118,NaN
2891,38,15,23,4,19738118,NaN,NaN
2892,38,23,15,4,NaN,19738118,NaN
2893,39,15,24,4,19738118,NaN,NaN
2894,39,24,15,4,NaN,19738118,NaN
2895,40,15,25,4,19738118,NaN,NaN
2896,40,25,15,4,NaN,19738118,NaN
2897,41,15,26,4,19738118,NaN,NaN
2898,41,26,15,4,NaN,19738118,NaN
2899,32,16,16,4,22198439,22198439,NaN
2900,33,16,17,4,22198439,20659534,NaN
2901,33,17,16,4,20659534,22198439,NaN
2902,34,16,18,4,22198439,15704597,NaN
2903,34,18,16,4,15704597,22198439,NaN
2904,35,16,19,4,22198439,9572862,-1536769775
2905,35,19,16,4,9572862,22198439,-1536769775
2906,36,16,20,4,22198439,4557524,965721558
2907,36,20,16,4,4557524,22198439,965721558
2908,37,16,21,4,22198439,20339790,NaN
2909,37,21,16,4,20339790,22198439,NaN
2910,38,16,22,4,22198439,75830075,NaN
2911,38,22,16,4,75830075,22198439,NaN
2912,39,16,23,4,22198439,NaN,NaN
2913,39,23,16,4,NaN,22198439,NaN
2914,40,16,24,4,22198439,NaN,NaN
2915,40,24,16,4,NaN,22198439,NaN
2916,41,16,25,4,22198439,NaN,NaN
2917,41,25,16,4,NaN,22198439,NaN
2918,42,16,26,4,22198439,NaN,NaN
2919,42,26,16,4,NaN,22198439,NaN
2920,43,16,27,4,22198439,NaN,NaN
2921,43,27,16,4,NaN,22198439,NaN
2922,34,17,17,4,20659534,20659534,NaN
2923,35,17,18,4,20659534,15704597,-137384977
2924,35,18,17,4,15704597,20659534,-137384977
2925,36,17,19,4,20659534,9572862,1831744598
2926,36,19,17,4,9572862,20659534,1831744598
2927,37,17,20,4,20659534,4557524,606584077
2928,37,20,17,4,4557524,20659534,606584077
2929,38,17,21,4,20659534,20339790,-908006686
2930,38,21,17,4,20339790,20659534,-908006686
2931,39,17,22,4,20659534,75830075,NaN
2932,39,22,17,4,75830075,20659534,NaN
2933,40,17,23,4,20659534,NaN,NaN
2934,40,23,17,4,NaN,20659534,NaN
2935,41,17,24,4,20659534,NaN,NaN
2936,41,24,17,4,NaN,20659534,NaN
2937,42,17,25,4,20659534,NaN,NaN
2938,42,25,17,4,NaN,20659534,NaN
2939,43,17,26,4,20659534,NaN,NaN
2940,43,26,17,4,NaN,20659534,NaN
